state,parlimen,dun,total,male_18_20,female_18_20,total_18_20,ratio_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14,votertype_early,Total#
Kelantan,P.028 Pasir Puteh,N.29 Selising,28573,1050,1053,2103,0.07360095194764288,3426,3423,3347,3460,2421,2333,1862,1934,1200,1354,548,710,137,244,18,53,28565,0,6,2,21348.0,6,113070
Kelantan,P.029 Machang,N.33 Pulai Chondong,28088,979,869,1848,0.06579322130447166,3253,3328,3309,3239,2309,2312,1880,2011,1416,1503,516,715,122,251,31,45,28076,0,10,2,21644.0,10,88825
Kelantan,P.030 Jeli,N.36 Bukit Bunga,21748,686,627,1313,0.06037336766599227,2674,2490,2470,2597,1914,1866,1532,1461,1104,940,470,478,127,178,73,61,20722,958,68,0,17352.0,1026,59798
Kelantan,P.031 Kuala Krai,N.39 Mengkebang,26774,1005,943,1948,0.0727571524613431,3397,3335,3358,3356,2326,2180,1698,1635,1023,1169,423,566,121,170,26,43,26774,0,0,0,20218.0,0,92335
Kelantan,P.032 Gua Musang,N.43 Nenggiri,19968,872,813,1685,0.08438501602564102,2799,2714,2663,2559,1653,1473,985,946,691,829,438,364,75,72,12,10,19956,0,12,0,15010.0,12,70254
Terengganu,P.033 Besut,N.01 Kuala Besut,26745,1012,937,1949,0.07287343428678257,3615,3194,3651,3275,2432,2311,1579,1611,915,1031,399,533,61,140,21,28,25356,1360,27,2,20762.0,1387,111650
Terengganu,P.034 Setiu,N.05 Jabi,24919,898,861,1759,0.07058870741201492,3068,3117,3098,3241,2312,2116,1592,1550,878,1021,383,486,84,158,19,37,24919,0,0,0,20041.0,0,107294
Terengganu,P.035 Kuala Nerus,N.09 Tepuh,30120,1269,1139,2408,0.0799468791500664,3898,3923,3981,3971,2402,2427,1668,1875,1091,1204,453,495,104,193,8,19,30113,0,4,3,23111.0,4,105952
Terengganu,P.036 Kuala Terengganu,N.13 Wakaf Mempelam,34303,1077,1034,2111,0.06153980701396379,3835,3787,4715,4507,3143,3140,2043,2214,1329,1642,589,810,143,247,13,35,34296,0,0,7,28059.0,0,123305
Terengganu,P.037 Marang,N.17 Alur Limbat,35638,1339,1281,2620,0.07351703238116616,4578,4344,4712,4559,2909,2943,2036,2230,1415,1545,616,697,143,241,19,31,35460,177,0,1,28038.0,177,131756
