state,parlimen,population_total,nationality_citizen,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none,Total,Male,Female,Young,Old,Middle_Aged,Male_Percentage,Female_Percentage,Young_Percentage,Old_Percentage,Middle_Aged_Percentage
Johor,P.160 Johor Bahru,177823,165082,55,38,6,1,73.6,3.5,6625,9993,5664,0.454,3.4,100.0,0.0,0.0,100.0,0.0,136368,68285,68083,27162,36168,73038,50,50,20,27,54
Johor,P.161 Pulai,291876,273983,47,41,12,0,72.8,3.7,8286,9559,5827,0.334,1.1,100.0,0.0,0.0,100.0,0.0,165313,83172,82141,46299,28631,90383,50,50,28,17,55
Johor,P.162 Iskandar Puteri,447697,417166,48,40,12,0,73.3,3.8,7815,10110,6275,0.392,2.4,100.0,0.0,0.0,100.0,0.0,222437,111366,111071,69493,31946,120998,50,50,31,14,54
Johor,P.163 Kulai,287404,241054,54,35,10,1,66.6,3.7,6834,8185,4802,0.331,4.2,100.0,0.0,0.0,100.0,0.0,151247,76072,75175,47020,24807,79420,50,50,31,16,53
Johor,P.164 Pontian,81778,77470,78,21,1,0,66.3,4.3,5692,6636,3836,0.335,4.9,100.0,0.0,0.0,100.0,0.0,75212,37362,37850,19434,15655,40123,50,50,26,21,53
Johor,P.165 Tanjung Piai,91540,82513,67,32,1,1,66.5,3.9,5118,6904,3751,0.369,6.6,100.0,0.0,0.0,100.0,0.0,70679,35860,34819,18541,14422,37716,51,49,26,20,53
Sabah,P.167 Kudat,92554,83634,94,5,0,0,72.1,9.1,2346,3797,2505,0.439,47.0,76.9,2.0,21.1,98.1,1.9,75724,38269,37455,23654,12755,39315,51,49,31,17,52
Sabah,P.168 Kota Marudu,99998,96192,98,2,0,0,72.7,8.6,2424,3739,2376,0.431,44.2,80.4,0.2,19.4,99.8,0.2,80735,40903,39832,27211,11412,42112,51,49,34,14,52
Sabah,P.169 Kota Belud,107243,103170,98,2,0,0,62.8,9.7,3025,4377,2371,0.412,34.1,71.6,2.0,26.4,99.7,0.3,79885,39093,40792,23459,12953,43473,49,51,29,16,54
Sabah,P.170 Tuaran,134976,127406,97,2,0,1,65.1,5.9,3747,5089,2932,0.383,16.3,80.5,0.3,19.2,100.0,0.0,83419,41536,41883,25072,12764,45583,50,50,30,15,55
Sabah,P.171 Sepanggar,336253,280746,86,13,0,1,72.9,6.3,5447,7076,3123,0.386,9.8,90.3,1.9,7.8,99.9,0.1,108370,55264,53106,39109,12830,56431,51,49,36,12,52
Sabah,P.172 Kota Kinabalu,114202,95460,62,36,1,1,73.1,6.5,7220,8846,4290,0.352,1.6,97.1,2.9,0.0,100.0,0.0,74059,36308,37751,12875,21294,39890,49,51,17,29,54
Sabah,P.173 Putatan,115203,98121,91,7,0,1,73.0,7.5,5008,6819,3172,0.379,11.7,98.6,1.4,0.0,100.0,0.0,63173,32676,30497,19146,10366,33661,52,48,30,16,53
Sabah,P.174 Penampang,178499,158591,75,24,0,1,67.2,8.7,5535,6643,3230,0.324,4.2,97.1,0.5,2.4,100.0,0.0,77214,39266,37948,22352,11620,43242,51,49,29,15,56
Sabah,P.175 Papar,106765,98452,94,5,0,1,66.6,7.2,4665,5843,2899,0.352,12.1,98.0,0.0,2.0,100.0,0.0,59942,29930,30012,17838,9457,32647,50,50,30,16,54
Sabah,P.176 Kimanis,50408,45850,98,2,0,0,66.8,8.1,4050,5359,2578,0.391,18.4,92.2,1.9,5.9,100.0,0.0,40763,20512,20251,10791,6543,23429,50,50,26,16,57
Sabah,P.177 Beaufort,52107,48502,94,4,0,1,66.2,6.3,3260,4444,2547,0.368,28.0,86.2,8.9,4.9,99.6,0.4,43248,21768,21480,10439,8062,24747,50,50,24,19,57
Sabah,P.178 Sipitang,66583,60458,95,4,0,1,66.0,6.4,3944,5148,2391,0.341,10.4,96.3,1.5,2.2,100.0,0.0,45871,23305,22566,13332,7357,25182,51,49,29,16,55
Sabah,P.179 Ranau,86084,79745,99,1,0,0,75.5,8.8,3519,4669,2648,0.393,26.8,36.3,2.5,61.2,100.0,0.0,66517,33443,33074,21236,9495,35786,50,50,32,14,54
Sabah,P.180 Keningau,129882,117554,93,6,0,1,61.9,6.3,4150,5550,2884,0.38,14.7,77.6,3.9,18.5,100.0,0.0,87588,44135,43453,30104,10991,46493,50,50,34,13,53
Sabah,P.181 Tenom,50230,48026,96,3,0,0,61.5,6.1,3525,4734,2606,0.347,17.2,54.3,0.9,44.8,100.0,0.0,42045,21002,21043,12601,6545,22899,50,50,30,16,54
Sabah,P.182 Pensiangan,82499,73991,99,1,0,0,68.8,8.0,3636,4359,2415,0.302,31.1,52.4,12.4,35.2,100.0,0.0,55672,27900,27772,21048,6677,27947,50,50,38,12,50
Sabah,P.183 Beluran,101066,59032,98,1,0,2,72.9,8.2,2848,4169,1848,0.407,43.3,46.6,5.8,47.7,96.8,3.2,44727,22805,21922,15402,6055,23270,51,49,34,14,52
Sabah,P.184 Libaran,171452,122828,87,11,0,2,74.4,8.0,4704,5616,2885,0.363,20.2,95.0,0.0,5.0,99.8,0.2,72332,37198,35134,25126,9515,37691,51,49,35,13,52
Sabah,P.185 Batu Sapi,119698,85136,76,22,0,2,74.3,7.7,5017,6426,3571,0.387,13.7,100.0,0.0,0.0,100.0,0.0,43916,22674,21242,13633,7944,22339,52,48,31,18,51
Sabah,P.186 Sandakan,121672,82111,73,25,0,1,74.4,8.1,5191,6963,3759,0.416,16.8,99.1,0.5,0.5,100.0,0.0,55542,27956,27586,16054,11891,27597,50,50,29,21,50
Sabah,P.187 Kinabatangan,216087,79593,95,1,0,4,68.3,9.7,2973,4310,1916,0.408,41.7,56.9,0.0,43.1,96.2,3.8,44773,23163,21610,15413,6201,23159,52,48,34,14,52
Sabah,P.188 Lahad Datu,299550,180519,90,6,0,4,71.4,9.7,4075,5644,2763,0.373,19.9,78.1,0.1,21.8,99.9,0.1,100256,52047,48209,36628,12624,51004,52,48,37,13,51
Sabah,P.189 Semporna,166587,102740,98,1,0,1,62.5,10.1,3542,5933,2599,0.474,31.5,90.3,0.7,9.0,99.7,0.3,72169,35918,36251,25337,9655,37177,50,50,35,13,52
Sabah,P.190 Tawau,230531,155447,78,17,0,5,75.1,7.0,4494,6202,2554,0.388,13.5,98.9,0.1,1.0,100.0,0.0,87477,44912,42565,26334,15887,45256,51,49,30,18,52
Sabah,P.191 Kalabakan,188656,125038,89,8,0,3,68.1,10.0,4265,6222,2941,0.385,14.8,98.0,0.5,1.4,99.7,0.3,83970,43557,40413,29148,10854,43968,52,48,35,13,52
Sarawak,P.192 Mas Gading,51434,48849,85,14,0,0,66.7,3.3,3843,4857,2940,0.342,9.5,75.5,0.0,24.5,100.0,0.0,47171,24186,22985,13174,8877,25120,51,49,28,19,53
Sarawak,P.193 Santubong,117751,115123,91,9,0,0,64.7,4.5,4801,5784,3378,0.345,11.7,90.8,0.4,8.7,99.8,0.2,79540,39405,40135,26493,11342,41705,50,50,33,14,52
Sarawak,P.194 Petra Jaya,150813,149617,87,13,0,0,64.8,4.5,6336,7665,4260,0.363,6.1,98.5,0.4,1.1,100.0,0.0,109809,53847,55962,34397,16671,58741,49,51,31,15,53
Sarawak,P.195 Bandar Kuching,116280,113020,35,65,1,0,64.6,4.7,5473,7712,4457,0.418,4.3,99.0,1.0,0.0,100.0,0.0,109710,53351,56359,17670,35944,56096,49,51,16,33,51
Sarawak,P.196 Stampin,212217,208809,42,57,1,0,67.1,4.8,6089,7765,4465,0.364,3.0,98.2,1.4,0.5,100.0,0.0,121009,61186,59823,35073,18661,67275,51,49,29,15,56
Sarawak,P.197 Kota Samarahan,158521,157010,85,14,0,0,64.6,4.7,5281,6406,3723,0.343,7.7,97.0,2.5,0.5,99.9,0.1,82229,41634,40595,27618,10506,44105,51,49,34,13,54
Sarawak,P.198 Puncak Borneo,80780,79770,82,18,0,0,64.6,5.0,3780,4920,2960,0.348,11.0,87.1,1.8,11.1,99.4,0.6,79969,40591,39378,21721,14566,43682,51,49,27,18,55
Sarawak,P.199 Serian,61744,60623,93,7,0,0,64.5,4.9,3274,4558,2643,0.387,20.8,66.3,2.7,31.0,99.6,0.4,65273,33147,32126,17110,12502,35661,51,49,26,19,55
Sarawak,P.200 Batang Sadong,33694,31438,96,4,0,0,70.1,4.4,2935,4089,2324,0.377,18.4,74.3,5.1,20.5,98.7,1.3,32640,16114,16526,8616,6515,17509,49,51,26,20,54
Sarawak,P.201 Batang Lupar,38339,37567,98,2,0,0,69.9,4.1,2579,3316,2324,0.325,28.4,80.8,2.7,16.6,99.6,0.4,43072,21557,21515,11558,7879,23635,50,50,27,18,55
Sarawak,P.202 Sri Aman,62863,60892,88,12,0,0,70.1,4.5,3383,4496,2823,0.367,9.3,69.9,1.8,28.4,99.8,0.2,50164,25221,24943,13453,10939,25772,50,50,27,22,51
Sarawak,P.203 Lubok Antu,26780,26076,94,5,0,0,68.2,4.0,2820,3809,2785,0.361,8.8,72.7,0.0,27.3,100.0,0.0,28995,14637,14358,6789,6453,15753,50,50,23,22,54
Sarawak,P.204 Betong,34630,34259,96,4,0,0,61.3,5.0,2764,3996,2868,0.372,23.0,78.9,2.4,18.8,99.6,0.4,41743,20937,20806,11168,8150,22425,50,50,27,20,54
Sarawak,P.205 Saratok,41339,40985,95,5,0,0,67.6,4.4,3004,3829,2747,0.345,17.6,89.8,3.8,6.4,100.0,0.0,44531,22226,22305,12177,8613,23741,50,50,27,19,53
Sarawak,P.206 Tanjong Manis,32768,30832,94,6,0,0,65.9,4.0,2991,3803,2795,0.337,14.8,85.5,0.2,14.3,100.0,0.0,32948,16455,16493,9665,5425,17858,50,50,29,16,54
Sarawak,P.207 Igan,27388,24084,97,2,0,0,66.3,5.9,2980,3968,2506,0.37,21.8,87.6,0.0,12.4,99.6,0.4,28290,13977,14313,8396,4853,15041,49,51,30,17,53
Sarawak,P.208 Sarikei,43119,42361,50,50,0,0,66.3,5.0,3499,4725,3063,0.381,9.1,97.6,0.1,2.2,99.7,0.3,55018,27660,27358,13699,11662,29657,50,50,25,21,54
Sarawak,P.209 Julau,35126,35046,94,6,0,0,72.0,4.6,2625,3286,2524,0.343,18.1,61.5,0.0,38.5,100.0,0.0,34850,17785,17065,9329,6485,19036,51,49,27,19,55
Sarawak,P.210 Kanowit,24700,24233,91,9,0,0,68.8,4.8,2670,3480,2497,0.387,21.9,71.9,4.9,23.2,99.1,0.9,30988,15475,15513,7973,6413,16602,50,50,26,21,54
Sarawak,P.211 Lanang,104930,102663,56,44,0,0,65.4,5.3,4468,5658,3528,0.354,10.8,98.1,1.8,0.2,99.9,0.1,87356,43090,44266,23646,18187,45523,49,51,27,21,52
Sarawak,P.212 Sibu,141574,130707,47,53,0,0,68.3,3.5,5099,6592,3741,0.37,4.0,96.4,1.1,2.5,100.0,0.0,105875,52677,53198,29182,18973,57720,50,50,28,18,55
Sarawak,P.213 Mukah,60805,54006,92,8,0,0,67.2,3.4,3830,5210,2977,0.379,10.3,80.9,1.9,17.2,99.7,0.3,46964,23779,23185,13380,8547,25037,51,49,28,18,53
