state,parlimen,peratus_keluar,rosak_vs_keseluruhan
Perlis,P.001 Padang Besar,76.5201355661882,1.673939946590243
Perlis,P.002 Kangar,76.10040208926114,1.3481252633057157
Perlis,P.003 Arau,78.19830475064065,1.7120410049575665
Kedah,P.004 Langkawi,72.06523204097219,1.3361594248072646
Kedah,P.005 Jerlun,78.26659368944246,1.3268064034474285
Kedah,P.006 Kubang Pasu,78.07091307280741,1.2830528134838908
Kedah,P.007 Padang Terap,82.50175567668796,1.4430189902920492
Kedah,P.008 Pokok Sena,77.47957992998833,1.159863333932746
Kedah,P.009 Alor Setar,73.55982414098912,1.2607574805371364
Kedah,P.010 Kuala Kedah,76.61132075471698,1.019603979903458
Kedah,P.011 Pendang,80.78627560895639,1.0303609536403031
Kedah,P.012 Jerai,79.32686355368044,1.2017672341345116
Kedah,P.013 Sik,81.83474321198872,0.9640140149828684
Kedah,P.014 Merbok,78.35689045936395,1.1900288112238506
Kedah,P.015 Sungai Petani,77.84976931778475,1.097780854641034
Kedah,P.016 Baling,83.53810399775926,1.1680697398348934
Kedah,P.017 Padang Serai,68.9505255215997,0.959892526705813
Kedah,P.018 Kulim-Bandar Baharu,79.2536137828513,1.8015117581187008
Kelantan,P.019 Tumpat,71.08006239497627,1.4259745886430637
Kelantan,P.020 Pengkalan Chepa,73.52545287992372,1.1416366849311586
Kelantan,P.021 Kota Bharu,68.4521437851884,1.2767626663967202
Kelantan,P.022 Pasir Mas,69.96213403283127,1.4997354297376977
Kelantan,P.023 Rantau Panjang,65.85235072065889,1.431456209490929
Kelantan,P.024 Kubang Kerian,72.59943681802183,1.3551186637899688
Kelantan,P.025 Bachok,74.05486146627376,1.9797638753384563
Kelantan,P.026 Ketereh,75.11637996740188,1.870121760849204
Kelantan,P.027 Tanah Merah,71.53833694397764,1.388200999051891
Kelantan,P.028 Pasir Puteh,72.72309188997966,1.520163447973926
Kelantan,P.029 Machang,74.3304249929637,1.378286683630195
Kelantan,P.030 Jeli,73.13288069835112,1.7813043080581723
Kelantan,P.031 Kuala Krai,71.13662208263388,1.527008099384934
Kelantan,P.032 Gua Musang,70.74187946593788,2.6600132799452703
Terengganu,P.033 Besut,77.46260635915809,1.2984610403875727
Terengganu,P.034 Setiu,80.18062519805395,1.3913912750351625
Terengganu,P.035 Kuala Nerus,83.61616581093325,1.08925084374612
Terengganu,P.036 Kuala Terengganu,79.15737399132233,1.0788381742738589
Terengganu,P.037 Marang,83.72446036613134,1.127710493871927
Terengganu,P.038 Hulu Terengganu,82.99873744554523,1.318350006852131
Terengganu,P.039 Dungun,79.72377746432558,0.932398402222994
Terengganu,P.040 Kemaman,82.14785221950467,1.255533339736146
